industry_code,industry_name,sa2_code,sa2_name,0_to_50k_businesses,50k_to_200k_businesses,200k_to_2m_businesses,2m_to_5m_businesses,5m_to_10m_businesses,10m_or_more_businesses,total_businesses
industry_code,Accommodation and Food Services,119021366,Punchbowl,20,25,37,6,0,0,89
industry_code,Accommodation and Food Services,119021367,Roselands,13,12,25,0,3,0,51
industry_code,Accommodation and Food Services,119021573,Lakemba,28,60,71,0,0,0,160
industry_code,Accommodation and Food Services,119021574,Wiley Park,14,16,8,0,0,0,38
industry_code,Accommodation and Food Services,119021659,Campsie - North,7,20,22,3,0,0,52
industry_code,Accommodation and Food Services,119021660,Campsie - South,9,19,22,0,0,3,52
industry_code,Accommodation and Food Services,119021661,Canterbury - South,7,13,26,0,0,0,47
industry_code,Accommodation and Food Services,119021662,Earlwood,8,21,45,3,3,3,81
industry_code,Accommodation and Food Services,119021663,Kingsgrove - North,3,8,12,0,0,0,23
industry_code,Accommodation and Food Services,119031370,Narwee - Beverly Hills,9,23,25,3,3,0,63
industry_code,Accommodation and Food Services,119031371,Oatley - Hurstville Grove,3,11,13,0,3,0,30
industry_code,Accommodation and Food Services,119031372,Peakhurst - Lugarno,15,15,32,4,0,0,67
industry_code,Accommodation and Food Services,119031373,Riverwood,11,15,23,0,0,0,51
industry_code,Accommodation and Food Services,119031374,South Hurstville - Blakehurst,24,26,48,3,0,0,101
industry_code,Accommodation and Food Services,119031664,Hurstville - Central,29,35,74,3,0,3,145
industry_code,Accommodation and Food Services,119031665,Hurstville - North,12,17,18,0,0,0,47
